alpha,entry_latency_ms,exit_horizon_ms,total_pnl,selected,observed,fills,pnl_per_selected,pnl_per_observed,pnl_per_fill,hit_rate,max_drawdown
baseline_continuation,5,500,-19.432570399999996,764,176,166,-0.02543530157068062,-0.11041233181818179,-0.11706367710843371,0.18674698795180722,19.458720399999997
baseline_continuation,5,750,-18.345585999999997,764,176,166,-0.024012547120418844,-0.10423628409090907,-0.110515578313253,0.21084337349397592,18.371736
baseline_continuation,5,1000,-16.728835999999998,764,176,166,-0.021896382198952877,-0.09505020454545453,-0.1007761204819277,0.21084337349397592,16.728835999999998
baseline_continuation,5,1500,-13.4713,764,174,164,-0.01763259162303665,-0.07742126436781609,-0.0821420731707317,0.23780487804878048,13.4713
baseline_continuation,5,2000,-12.4972,764,169,159,-0.016357591623036648,-0.07394792899408284,-0.07859874213836478,0.2138364779874214,12.4976
baseline_continuation,5,3000,-21.607039999999994,764,163,153,-0.02828146596858638,-0.13255852760736192,-0.14122248366013068,0.24836601307189543,22.083289999999995
baseline_continuation,5,4000,-17.0126,764,159,149,-0.02226780104712042,-0.10699748427672956,-0.11417852348993288,0.28859060402684567,17.38295
baseline_continuation,5,5000,-14.973599999999994,764,154,144,-0.019598952879581143,-0.0972311688311688,-0.10398333333333329,0.2847222222222222,15.621099999999995
baseline_continuation,5,7500,-4.275749999999999,764,143,133,-0.0055965314136125635,-0.029900349650349642,-0.032148496240601496,0.38345864661654133,11.028899999999998
baseline_continuation,5,10000,-8.20135,764,139,129,-0.010734751308900524,-0.059002517985611506,-0.06357635658914729,0.4108527131782946,11.10865
baseline_continuation,10,500,-17.098350000000003,764,176,160,-0.022380039267015713,-0.09714971590909093,-0.10686468750000003,0.1875,17.124500000000005
baseline_continuation,10,750,-17.249436000000003,764,176,160,-0.02257779581151833,-0.09800815909090911,-0.10780897500000002,0.20625,17.275586000000004
baseline_continuation,10,1000,-15.433786000000001,764,176,160,-0.02020129057591623,-0.08769196590909091,-0.0964611625,0.20625,15.433786000000001
baseline_continuation,10,1500,-11.720600000000005,764,174,158,-0.015341099476439796,-0.06735977011494255,-0.07418101265822788,0.22784810126582278,11.720600000000005
baseline_continuation,10,2000,-10.343399999999999,764,170,154,-0.013538481675392669,-0.0608435294117647,-0.06716493506493505,0.22077922077922077,10.3438
baseline_continuation,10,3000,-20.921839999999992,764,165,149,-0.027384607329842922,-0.12679903030303025,-0.14041503355704693,0.2483221476510067,21.398089999999993
baseline_continuation,10,4000,-15.935499999999998,764,161,145,-0.020857984293193715,-0.0989782608695652,-0.10989999999999998,0.2896551724137931,16.30585
baseline_continuation,10,5000,-14.050049999999992,764,156,140,-0.018390117801047108,-0.09006442307692303,-0.10035749999999995,0.2785714285714286,14.601049999999994
baseline_continuation,10,7500,-3.5340500000000006,764,146,130,-0.004625719895287959,-0.024205821917808224,-0.027185000000000004,0.38461538461538464,11.0289
baseline_continuation,10,10000,-8.212299999999999,764,142,126,-0.010749083769633506,-0.05783309859154929,-0.06517698412698412,0.40476190476190477,11.10865
baseline_continuation,25,500,-19.905549999999998,764,176,151,-0.026054384816753925,-0.1130997159090909,-0.1318248344370861,0.13245033112582782,19.9317
baseline_continuation,25,750,-19.626585999999996,764,176,151,-0.02568924869109947,-0.11151469318181816,-0.1299773907284768,0.17218543046357615,19.652735999999997
baseline_continuation,25,1000,-18.312686,764,176,151,-0.023969484293193715,-0.10404935227272727,-0.12127606622516555,0.17218543046357615,18.312686
baseline_continuation,25,1500,-14.50225,764,176,151,-0.018982002617801048,-0.08239914772727273,-0.09604139072847682,0.2119205298013245,14.50225
